com.samsung.health.exercise
time_offset,max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,mean_speed,mean_heart_rate,count_type,custom,end_time,count,min_altitude,max_speed,exercise_type,pkg_name,start_time,max_power,mean_power,min_heart_rate,calorie,comment,max_heart_rate,exercise_custom_type,mean_cadence
-14400000,,live_data.60.blob,,770.549,,,,dOU0jyvERH,606146,2017-06-09 20:58:37.062,aa3769f0-3a32-15fb-afaa-d616eab191a9,location_data.61.blob,,,,,,0.0,2017-06-09 20:58:37.062,1.3568033,0.0,,,2017-06-09 20:57:17.088,,,1.6123062,1001,com.sec.android.app.shealth,2017-06-09 20:47:10.942,,,0.0,50.16,,0.0,,0.0
-14400000,,live_data.62.blob,,,,,,dOU0jyvERH,1083314,2017-06-10 19:35:12.340,ca0e5905-6dcf-d1ac-e6f6-0765eb542df8,location_data.63.blob,,,,,,0.0,2017-06-10 19:35:12.340,,0.0,,,2017-06-10 19:34:10.661,,,,0,com.sec.android.app.shealth,2017-06-10 19:16:07.347,,,0.0,97.67,,0.0,,0.0
-14400000,,live_data.64.blob,,1725.49,,,,HhGX3b5ODm,1330099,2017-06-19 21:01:57.312,dd4d76fd-6dfb-4e78-a047-c03a8e8e11ba,,,,,,,,2017-06-19 21:01:57.312,1.2972645,,,,2017-06-19 20:59:10.000,,,1.5555556,1001,com.sec.android.app.shealth,2017-06-19 20:37:00.000,,,,110.73,,,,
-14400000,,live_data.65.blob,,927.93,,,,HhGX3b5ODm,688779,2017-06-21 15:22:25.406,c8d3a0c6-d751-4b08-a08d-4717511041d2,,,,,,,,2017-06-21 15:22:25.406,1.34721,,,,2017-06-21 15:21:28.000,,,1.6388888,1001,com.sec.android.app.shealth,2017-06-21 15:10:00.000,,,,58.0,,,,
-14400000,,live_data.66.blob,,1121.35,,,,HhGX3b5ODm,838186,2017-06-22 09:55:07.355,e77ed80d-720b-4a3f-a3f5-d78c555080d8,,,,,,,,2017-06-22 09:55:07.355,1.3378296,,,,2017-06-22 09:50:04.000,,,1.4722222,1001,com.sec.android.app.shealth,2017-06-22 09:36:06.000,,,,71.58,,,,
-14400000,,live_data.67.blob,,2529.26,,,,HhGX3b5ODm,1988586,2017-06-24 13:38:40.458,4241c16c-cdde-47bf-bd40-5bd92877801f,,,,,,,,2017-06-24 13:38:40.458,1.2718887,,,,2017-06-24 13:36:08.000,,,1.6944444,1001,com.sec.android.app.shealth,2017-06-24 13:03:00.000,,,,166.03,,,,
-14400000,,live_data.68.blob,,1229.4401,,,,HhGX3b5ODm,857786,2017-06-26 16:28:53.025,3d4a18bf-8248-4dfa-a29c-4db2773f3633,,,,,,,,2017-06-26 16:28:53.025,1.4332714,,,,2017-06-26 16:27:29.000,,,2.0277777,1001,com.sec.android.app.shealth,2017-06-26 16:13:12.000,,,,79.01,,,,
-14400000,,live_data.69.blob,,838.91003,,,,HhGX3b5ODm,663967,2017-06-29 13:55:00.948,91dcc176-7503-4128-bde6-14c72c2db5a1,,,,,,,,2017-06-29 13:55:00.948,1.2634815,,,,2017-06-29 13:48:08.000,,,1.6111112,1001,com.sec.android.app.shealth,2017-06-29 13:37:05.000,,,,53.8,,,,
-14400000,,live_data.70.blob,,1140.81,,,,HhGX3b5ODm,834078,2017-06-29 20:31:22.335,75b1a713-df59-498e-a8b8-2c75b779013d,,,,,,,,2017-06-29 20:31:22.335,1.3677498,,,,2017-06-29 20:28:54.000,,,1.7777778,1001,com.sec.android.app.shealth,2017-06-29 20:15:00.000,,,,71.78,,,,
-14400000,,live_data.71.blob,,1181.71,,,,HhGX3b5ODm,833762,2017-06-30 18:34:38.297,b39decfb-64ac-4b6e-86b1-49af9fc60db4,,,,,,,,2017-06-30 18:34:38.297,1.417323,,,,2017-06-30 18:28:18.000,,,1.8333334,1001,com.sec.android.app.shealth,2017-06-30 18:14:25.000,,,,73.3,,,,
